id|authentication_methods|latitude|longitude|payment_methods|images|operator|operator:website|operator:type|operator:phone|operator:email|network|capacity|ele|check_date|opening_hours
1161|[0, 32]|52.8097938|17.2008667|[1, 2]|[]|EV PLUS Spółka z ograniczoną odpowiedzialnością|http://evplus.com.pl|1|533708555|biuro@evplus.com.pl|EV PLUS Spółka z ograniczoną odpowiedzialnością|1|997|2019-04-25|24/7
1167|[0, 32]|51.55273311|16.87530497|[1, 2]|[]|EV PLUS Spółka z ograniczoną odpowiedzialnością|http://evplus.com.pl|1|533708555|biuro@evplus.com.pl|EV PLUS Spółka z ograniczoną odpowiedzialnością|1|997|2019-04-25|24/7
1168|[0, 32]|52.40550078|16.86584355|[1, 2]|[]|EV PLUS Spółka z ograniczoną odpowiedzialnością|http://evplus.com.pl|1|533708555|biuro@evplus.com.pl|EV PLUS Spółka z ograniczoną odpowiedzialnością|1|997|2019-04-25|24/7
1169|[0, 32]|52.40550078|16.86584355|[1, 2]|[]|EV PLUS Spółka z ograniczoną odpowiedzialnością|http://evplus.com.pl|1|533708555|biuro@evplus.com.pl|EV PLUS Spółka z ograniczoną odpowiedzialnością|1|997|2019-04-25|24/7
1170|[0, 32]|49.8388892|19.0369463|[1, 2]|[]|EV PLUS Spółka z ograniczoną odpowiedzialnością|http://evplus.com.pl|1|533708555|biuro@evplus.com.pl|EV PLUS Spółka z ograniczoną odpowiedzialnością|1|997|2019-04-25|24/7
1172|[0, 32]|51.10376565|17.0524013|[1, 2]|[]|EV PLUS Spółka z ograniczoną odpowiedzialnością|http://evplus.com.pl|1|533708555|biuro@evplus.com.pl|EV PLUS Spółka z ograniczoną odpowiedzialnością|1|997|2019-04-25|24/7
1173|[0, 32]|52.955077|15.836691|[1, 2]|[]|EV PLUS Spółka z ograniczoną odpowiedzialnością|http://evplus.com.pl|1|533708555|biuro@evplus.com.pl|EV PLUS Spółka z ograniczoną odpowiedzialnością|1|997|2019-04-25|24/7
1174|[0, 32]|53.450227|14.496466|[1, 2]|[]|EV PLUS Spółka z ograniczoną odpowiedzialnością|http://evplus.com.pl|1|533708555|biuro@evplus.com.pl|EV PLUS Spółka z ograniczoną odpowiedzialnością|1|997|2019-04-25|24/7
1557|[0, 32]|53.4381095|14.5440477|[1, 2]|[]|EV PLUS Spółka z ograniczoną odpowiedzialnością|http://evplus.com.pl|1|533708555|biuro@evplus.com.pl|EV PLUS Spółka z ograniczoną odpowiedzialnością|1|997|2019-06-19|24/7
1558|[0, 32]|53.4462238|14.5166972|[1, 2]|[]|EV PLUS Spółka z ograniczoną odpowiedzialnością|http://evplus.com.pl|1|533708555|biuro@evplus.com.pl|EV PLUS Spółka z ograniczoną odpowiedzialnością|1|997|2019-06-19|24/7
