"Kod";"Nazwa";"ogolem"
"0603000";"Powiat chełmski";"75292"
"0603011";"Rejowiec Fabryczny (1)";"4102"
"0603022";"Białopole (2)";"2876"
"0603032";"Chełm (2)";"14957"
"0603042";"Dorohusk (2)";"6033"
"0603052";"Dubienka (2)";"2152"
"0603062";"Kamień (2)";"4118"
"0603072";"Leśniowice (2)";"3406"
"0603082";"Rejowiec Fabryczny (2)";"4107"
"0603092";"Ruda-Huta (2)";"4247"
"0603102";"Sawin (2)";"5369"
"0603113";"Siedliszcze (3)";"6574"
"0603114";"Siedliszcze - miasto (4)";"1367"
"0603115";"Siedliszcze - obszar wiejski (5)";"5207"
"0603122";"Wierzbica (2)";"4825"
"0603132";"Wojsławice (2)";"3547"
"0603142";"Żmudź (2)";"2870"
"0603153";"Rejowiec (3)";"6109"
"0603154";"Rejowiec - miasto (4)";"1982"
"0603155";"Rejowiec - obszar wiejski (5)";"4127"
"0604000";"Powiat hrubieszowski";"59421"
"0604011";"Hrubieszów (1)";"16832"
"0604022";"Dołhobyczów (2)";"4905"
"0604032";"Horodło (2)";"4963"
"0604042";"Hrubieszów (2)";"9478"
"0604052";"Mircze (2)";"6448"
"0604062";"Trzeszczany (2)";"3870"
"0604072";"Uchanie (2)";"4237"
"0604082";"Werbkowice (2)";"8688"
"0605000";"Powiat janowski";"44048"
"0605012";"Batorz (2)";"3141"
"0605022";"Chrzanów (2)";"2777"
"0605032";"Dzwola (2)";"6073"
"0605042";"Godziszów (2)";"5602"
"0605053";"Janów Lubelski (3)";"15104"
"0605054";"Janów Lubelski - miasto (4)";"11308"
"0605055";"Janów Lubelski - obszar wiejski (5)";"3796"
"0605063";"Modliborzyce (3)";"6837"
"0605064";"Modliborzyce - miasto (4)";"1413"
"0605065";"Modliborzyce - obszar wiejski (5)";"5424"
"0605072";"Potok Wielki (2)";"4514"
"0606000";"Powiat krasnostawski";"61027"
"0606011";"Krasnystaw (1)";"17855"
"0606022";"Fajsławice (2)";"4540"
"0606032";"Gorzków (2)";"3356"
"0606042";"Izbica (2)";"7887"
"0606052";"Krasnystaw (2)";"8351"
"0606062";"Kraśniczyn (2)";"3558"
"0606072";"Łopiennik Górny (2)";"3660"
"0606092";"Rudnik (2)";"2829"
"0606102";"Siennica Różana (2)";"3923"
"0606112";"Żółkiewka (2)";"5068"
"0607000";"Powiat kraśnicki";"91883"
"0607011";"Kraśnik (1)";"32593"
"0607023";"Annopol (3)";"8227"
"0607024";"Annopol - miasto (4)";"2371"
"0607025";"Annopol - obszar wiejski (5)";"5856"
"0607032";"Dzierzkowice (2)";"5278"
"0607042";"Gościeradów (2)";"6999"
"0607052";"Kraśnik (2)";"7113"
"0607062";"Szastarka (2)";"5596"
"0607072";"Trzydnik Duży (2)";"6160"
"0607083";"Urzędów (3)";"8289"
"0607084";"Urzędów - miasto (4)";"1701"
"0607085";"Urzędów - obszar wiejski (5)";"6588"
"0607092";"Wilkołaz (2)";"5385"
"0607102";"Zakrzówek (2)";"6243"
"0608000";"Powiat lubartowski";"85762"
"0608011";"Lubartów (1)";"20494"
"0608022";"Abramów (2)";"3909"
"0608032";"Firlej (2)";"5778"
"0608042";"Jeziorzany (2)";"2565"
"0608053";"Kamionka (3)";"6462"
"0608054";"Kamionka - miasto (4)";"1739"
"0608055";"Kamionka - obszar wiejski (5)";"4723"
"0608063";"Kock (3)";"5911"
"0608064";"Kock - miasto (4)";"2976"
"0608065";"Kock - obszar wiejski (5)";"2935"
"0608072";"Lubartów (2)";"12024"
"0608082";"Michów (2)";"5652"
"0608092";"Niedźwiada (2)";"6219"
"0608103";"Ostrów Lubelski (3)";"5096"
"0608104";"Ostrów Lubelski - miasto (4)";"2033"
"0608105";"Ostrów Lubelski - obszar wiejski (5)";"3063"
"0608112";"Ostrówek (2)";"3766"
"0608122";"Serniki (2)";"4831"
"0608132";"Uścimów (2)";"3055"
"0609000";"Powiat lubelski";"161640"
"0609013";"Bełżyce (3)";"12871"
"0609014";"Bełżyce - miasto (4)";"6142"
"0609015";"Bełżyce - obszar wiejski (5)";"6729"
"0609022";"Borzechów (2)";"3787"
"0609033";"Bychawa (3)";"11179"
"0609034";"Bychawa - miasto (4)";"4677"
"0609035";"Bychawa - obszar wiejski (5)";"6502"
"0609042";"Garbów (2)";"9035"
"0609052";"Głusk (2)";"13714"
"0609062";"Jabłonna (2)";"8256"
"0609072";"Jastków (2)";"15082"
"0609082";"Konopnica (2)";"15492"
"0609092";"Krzczonów (2)";"4226"
"0609102";"Niedrzwica Duża (2)";"11868"
"0609112";"Niemce (2)";"21184"
"0609122";"Strzyżewice (2)";"8079"
"0609132";"Wojciechów (2)";"6017"
"0609142";"Wólka (2)";"13833"
"0609152";"Wysokie (2)";"4255"
"0609162";"Zakrzew (2)";"2762"
"0610000";"Powiat łęczyński";"56359"
"0610012";"Cyców (2)";"7763"
"0610022";"Ludwin (2)";"5589"
"0610033";"Łęczna (3)";"22785"
"0610034";"Łęczna - miasto (4)";"18234"
"0610035";"Łęczna - obszar wiejski (5)";"4551"
"0610042";"Milejów (2)";"8756"
"0610052";"Puchaczów (2)";"5544"
"0610062";"Spiczyn (2)";"5922"
"0611000";"Powiat łukowski";"102570"
"0611011";"Łuków (1)";"27906"
"0611021";"Stoczek Łukowski (1)";"2431"
"0611032";"Adamów (2)";"5228"
"0611042";"Krzywda (2)";"9964"
"0611052";"Łuków (2)";"18270"
"0611062";"Serokomla (2)";"3762"
"0611072";"Stanin (2)";"9352"
"0611082";"Stoczek Łukowski (2)";"7381"
"0611092";"Trzebieszów (2)";"7175"
"0611102";"Wojcieszków (2)";"6615"
"0611112";"Wola Mysłowska (2)";"4486"
"0612000";"Powiat opolski";"57179"
"0612012";"Chodel (2)";"6432"
"0612023";"Józefów nad Wisłą (3)";"6242"
"0612024";"Józefów nad Wisłą - miasto (4)";"833"
"0612025";"Józefów nad Wisłą - obszar wiejski (5)";"5409"
"0612032";"Karczmiska (2)";"5411"
"0612042";"Łaziska (2)";"4667"
"0612053";"Opole Lubelskie (3)";"16634"
"0612054";"Opole Lubelskie - miasto (4)";"8135"
"0612055";"Opole Lubelskie - obszar wiejski (5)";"8499"
"0612063";"Poniatowa (3)";"13515"
"0612064";"Poniatowa - miasto (4)";"8517"
"0612065";"Poniatowa - obszar wiejski (5)";"4998"
"0612072";"Wilków (2)";"4278"
"0613000";"Powiat parczewski";"33365"
"0613012";"Dębowa Kłoda (2)";"3700"
"0613022";"Jabłoń (2)";"3627"
"0613032";"Milanów (2)";"3549"
"0613043";"Parczew (3)";"14172"
"0613044";"Parczew - miasto (4)";"10519"
"0613045";"Parczew - obszar wiejski (5)";"3653"
"0613052";"Podedwórze (2)";"1562"
"0613062";"Siemień (2)";"4368"
"0613072";"Sosnowica (2)";"2387"
"0614000";"Powiat puławski";"109590"
"0614011";"Puławy (1)";"45267"
"0614022";"Baranów (2)";"3683"
"0614032";"Janowiec (2)";"3653"
"0614043";"Kazimierz Dolny (3)";"6412"
"0614044";"Kazimierz Dolny - miasto (4)";"3255"
"0614045";"Kazimierz Dolny - obszar wiejski (5)";"3157"
"0614052";"Końskowola (2)";"8575"
"0614062";"Kurów (2)";"7436"
"0614072";"Markuszów (2)";"2921"
"0614083";"Nałęczów (3)";"8751"
"0614084";"Nałęczów - miasto (4)";"3697"
"0614085";"Nałęczów - obszar wiejski (5)";"5054"
"0614092";"Puławy (2)";"12203"
"0614102";"Wąwolnica (2)";"4436"
"0614112";"Żyrzyn (2)";"6253"
"0615000";"Powiat radzyński";"56403"
"0615011";"Radzyń Podlaski (1)";"14806"
"0615022";"Borki (2)";"5865"
"0615032";"Czemierniki (2)";"4117"
"0615042";"Kąkolewnica (2)";"7739"
"0615052";"Komarówka Podlaska (2)";"3973"
"0615062";"Radzyń Podlaski (2)";"7934"
"0615072";"Ulan-Majorat (2)";"5646"
"0615082";"Wohyń (2)";"6323"
"0616000";"Powiat rycki";"53019"
"0616011";"Dęblin (1)";"14791"
"0616022";"Kłoczew (2)";"6938"
"0616032";"Nowodwór (2)";"3947"
"0616043";"Ryki (3)";"19546"
"0616044";"Ryki - miasto (4)";"9229"
"0616045";"Ryki - obszar wiejski (5)";"10317"
"0616052";"Stężyca (2)";"4902"
"0616062";"Ułęż (2)";"2895"
"0617000";"Powiat świdnicki";"70632"
"0617011";"Świdnik (1)";"37884"
"0617022";"Mełgiew (2)";"10479"
"0617033";"Piaski (3)";"10339"
"0617034";"Piaski - miasto (4)";"2480"
"0617035";"Piaski - obszar wiejski (5)";"7859"
"0617042";"Rybczewice (2)";"3278"
"0617052";"Trawniki (2)";"8652"
"0618000";"Powiat tomaszowski";"79589"
"0618011";"Tomaszów Lubelski (1)";"18567"
"0618022";"Bełżec (2)";"3219"
"0618032";"Jarczów (2)";"3225"
"0618042";"Krynice (2)";"3094"
"0618053";"Lubycza Królewska (3)";"5768"
"0618054";"Lubycza Królewska - miasto (4)";"2204"
"0618055";"Lubycza Królewska - obszar wiejski (5)";"3564"
"0618063";"Łaszczów (3)";"5663"
"0618064";"Łaszczów - miasto (4)";"2010"
"0618065";"Łaszczów - obszar wiejski (5)";"3653"
"0618072";"Rachanie (2)";"4786"
"0618082";"Susiec (2)";"7157"
"0618092";"Tarnawatka (2)";"3829"
"0618102";"Telatyn (2)";"3684"
"0618112";"Tomaszów Lubelski (2)";"11080"
"0618123";"Tyszowce (3)";"5323"
"0618124";"Tyszowce - miasto (4)";"1926"
"0618125";"Tyszowce - obszar wiejski (5)";"3397"
"0618132";"Ulhówek (2)";"4194"
"0619000";"Powiat włodawski";"36518"
"0619011";"Włodawa (1)";"12500"
"0619022";"Hanna (2)";"2614"
"0619032";"Hańsk (2)";"3540"
"0619042";"Stary Brus (2)";"1911"
"0619052";"Urszulin (2)";"4146"
"0619062";"Włodawa (2)";"5748"
"0619072";"Wola Uhruska (2)";"3699"
"0619082";"Wyryki (2)";"2360"
"0620000";"Powiat zamojski";"102890"
"0620012";"Adamów (2)";"4520"
"0620022";"Grabowiec (2)";"3714"
"0620032";"Komarów-Osada (2)";"4605"
"0620043";"Krasnobród (3)";"6822"
"0620044";"Krasnobród - miasto (4)";"3013"
"0620045";"Krasnobród - obszar wiejski (5)";"3809"
"0620052";"Łabunie (2)";"6006"
"0620062";"Miączyn (2)";"5307"
"0620072";"Nielisz (2)";"5241"
"0620082";"Radecznica (2)";"5235"
"0620092";"Sitno (2)";"6580"
"0620102";"Skierbieszów (2)";"4862"
"0620112";"Stary Zamość (2)";"4975"
"0620122";"Sułów (2)";"4229"
"0620133";"Szczebrzeszyn (3)";"10860"
"0620134";"Szczebrzeszyn - miasto (4)";"4849"
"0620135";"Szczebrzeszyn - obszar wiejski (5)";"6011"
"0620142";"Zamość (2)";"23601"
"0620153";"Zwierzyniec (3)";"6333"
"0620154";"Zwierzyniec - miasto (4)";"2918"
"0620155";"Zwierzyniec - obszar wiejski (5)";"3415"
"0661000";"Powiat m. Biała Podlaska";"55429"
"0661011";"Biała Podlaska (1)";"55429"
"0662000";"Powiat m. Chełm";"59546"
"0662011";"Chełm (1)";"59546"
"0663000";"Powiat m. Lublin";"334681"
"0663011";"Lublin (1)";"334681"
"0664000";"Powiat m. Zamość";"60148"
"0664011";"Zamość (1)";"60148"
"0800000";"LUBUSKIE";"991213"
"0801000";"Powiat gorzowski";"72564"
"0801011";"Kostrzyn nad Odrą (1)";"17899"
"0801022";"Bogdaniec (2)";"7111"
"0801032";"Deszczno (2)";"10231"
"0801042";"Kłodawa (2)";"8926"
"0801052";"Lubiszyn (2)";"6975"
"0801062";"Santok (2)";"9131"
"0801073";"Witnica (3)";"12291"
"0801074";"Witnica - miasto (4)";"6524"
"0801075";"Witnica - obszar wiejski (5)";"5767"
"0802000";"Powiat krośnieński";"53819"
"0802011";"Gubin (1)";"16114"
"0802022";"Bobrowice (2)";"3118"
"0802032";"Bytnica (2)";"2352"
"0802042";"Dąbie (2)";"4956"
"0802052";"Gubin (2)";"7178"
"0802063";"Krosno Odrzańskie (3)";"17333"
"0802064";"Krosno Odrzańskie - miasto (4)";"10905"
"0802065";"Krosno Odrzańskie - obszar wiejski (5)";"6428"
"0802072";"Maszewo (2)";"2768"
"0803000";"Powiat międzyrzecki";"56059"
"0803012";"Bledzew (2)";"4065"
"0803023";"Międzyrzecz (3)";"24233"
"0803024";"Międzyrzecz - miasto (4)";"17400"
"0803025";"Międzyrzecz - obszar wiejski (5)";"6833"
"0803032";"Przytoczna (2)";"5429"
"0803042";"Pszczew (2)";"4246"
"0803053";"Skwierzyna (3)";"11764"
"0803054";"Skwierzyna - miasto (4)";"9272"
"0803055";"Skwierzyna - obszar wiejski (5)";"2492"
"0803063";"Trzciel (3)";"6322"
"0803064";"Trzciel - miasto (4)";"2282"
"0803065";"Trzciel - obszar wiejski (5)";"4040"
"0804000";"Powiat nowosolski";"83391"
"0804011";"Nowa Sól (1)";"36843"
"0804023";"Bytom Odrzański (3)";"5170"
"0804024";"Bytom Odrzański - miasto (4)";"4051"
"0804025";"Bytom Odrzański - obszar wiejski (5)";"1119"
"0804032";"Kolsko (2)";"3290"
"0804043";"Kożuchów (3)";"15473"
"0804044";"Kożuchów - miasto (4)";"9086"
"0804045";"Kożuchów - obszar wiejski (5)";"6387"
"0804052";"Nowa Sól (2)";"7138"
"0804063";"Nowe Miasteczko (3)";"5138"
"0804064";"Nowe Miasteczko - miasto (4)";"2694"
"0804065";"Nowe Miasteczko - obszar wiejski (5)";"2444"
"0804073";"Otyń (3)";"6972"
"0804074";"Otyń - miasto (4)";"1666"
"0804075";"Otyń - obszar wiejski (5)";"5306"
"0804082";"Siedlisko (2)";"3367"
"0805000";"Powiat słubicki";"46378"
"0805013";"Cybinka (3)";"6380"
"0805014";"Cybinka - miasto (4)";"2745"
"0805015";"Cybinka - obszar wiejski (5)";"3635"
"0805022";"Górzyca (2)";"4156"
"0805033";"Ośno Lubuskie (3)";"6235"
"0805034";"Ośno Lubuskie - miasto (4)";"3880"
"0805035";"Ośno Lubuskie - obszar wiejski (5)";"2355"
"0805043";"Rzepin (3)";"9507"
"0805044";"Rzepin - miasto (4)";"6486"
"0805045";"Rzepin - obszar wiejski (5)";"3021"
"0805053";"Słubice (3)";"20100"
"0805054";"Słubice - miasto (4)";"16495"
"0805055";"Słubice - obszar wiejski (5)";"3605"
"0806000";"Powiat strzelecko-drezdenecki";"47753"
"0806013";"Dobiegniew (3)";"6333"
"0806014";"Dobiegniew - miasto (4)";"3055"
"0806015";"Dobiegniew - obszar wiejski (5)";"3278"
"0806023";"Drezdenko (3)";"16716"
"0806024";"Drezdenko - miasto (4)";"9800"
"0806025";"Drezdenko - obszar wiejski (5)";"6916"
"0806032";"Stare Kurowo (2)";"3954"
"0806043";"Strzelce Krajeńskie (3)";"16549"
"0806044";"Strzelce Krajeńskie - miasto (4)";"9912"
"0806045";"Strzelce Krajeńskie - obszar wiejski (5)";"6637"
"0806052";"Zwierzyn (2)";"4201"
"0807000";"Powiat sulęciński";"34282"
"0807012";"Krzeszyce (2)";"4593"
"0807023";"Lubniewice (3)";"3055"
"0807024";"Lubniewice - miasto (4)";"2015"
"0807025";"Lubniewice - obszar wiejski (5)";"1040"
"0807032";"Słońsk (2)";"4746"
"0807043";"Sulęcin (3)";"15435"
"0807044";"Sulęcin - miasto (4)";"9978"
"0807045";"Sulęcin - obszar wiejski (5)";"5457"
"0807053";"Torzym (3)";"6453"
"0807054";"Torzym - miasto (4)";"2468"
"0807055";"Torzym - obszar wiejski (5)";"3985"
"0808000";"Powiat świebodziński";"54849"
"0808012";"Lubrza (2)";"3583"
"0808022";"Łagów (2)";"4842"
"0808032";"Skąpe (2)";"5127"
"0808042";"Szczaniec (2)";"3729"
"0808053";"Świebodzin (3)";"29479"
"0808054";"Świebodzin - miasto (4)";"21399"
"0808055";"Świebodzin - obszar wiejski (5)";"8080"
"0808063";"Zbąszynek (3)";"8089"
"0808064";"Zbąszynek - miasto (4)";"4930"
"0808065";"Zbąszynek - obszar wiejski (5)";"3159"
"0809000";"Powiat zielonogórski";"75068"
"0809013";"Babimost (3)";"6102"
"0809014";"Babimost - miasto (4)";"3865"
"0809015";"Babimost - obszar wiejski (5)";"2237"
"0809022";"Bojadła (2)";"3223"
"0809033";"Czerwieńsk (3)";"10026"
"0809034";"Czerwieńsk - miasto (4)";"3907"
"0809035";"Czerwieńsk - obszar wiejski (5)";"6119"
"0809043";"Kargowa (3)";"5933"
"0809044";"Kargowa - miasto (4)";"3838"
"0809045";"Kargowa - obszar wiejski (5)";"2095"
"0809053";"Nowogród Bobrzański (3)";"9128"
"0809054";"Nowogród Bobrzański - miasto (4)";"4850"
"0809055";"Nowogród Bobrzański - obszar wiejski (5)";"4278"
"0809063";"Sulechów (3)";"26100"
"0809064";"Sulechów - miasto (4)";"16063"
"0809065";"Sulechów - obszar wiejski (5)";"10037"
"0809072";"Świdnica (2)";"6800"
"0809082";"Trzebiechów (2)";"3226"
"0809092";"Zabór (2)";"4530"
"0810000";"Powiat żagański";"75823"
"0810011";"Gozdnica (1)";"2847"
"0810021";"Żagań (1)";"24424"
"0810032";"Brzeźnica (2)";"3559"
"0810043";"Iłowa (3)";"6530"
"0810044";"Iłowa - miasto (4)";"3725"
"0810045";"Iłowa - obszar wiejski (5)";"2805"
"0810053";"Małomice (3)";"5183"
"0810054";"Małomice - miasto (4)";"3457"
"0810055";"Małomice - obszar wiejski (5)";"1726"
"0810062";"Niegosławice (2)";"4285"
"0810073";"Szprotawa (3)";"19711"
"0810074";"Szprotawa - miasto (4)";"11068"
"0810075";"Szprotawa - obszar wiejski (5)";"8643"
"0810082";"Wymiarki (2)";"2156"
"0810092";"Żagań (2)";"7128"
"0811000";"Powiat żarski";"93361"
"0811011";"Łęknica (1)";"2324"
"0811021";"Żary (1)";"36004"
"0811032";"Brody (2)";"3246"
"0811043";"Jasień (3)";"6857"
"0811044";"Jasień - miasto (4)";"4155"
"0811045";"Jasień - obszar wiejski (5)";"2702"
"0811052";"Lipinki Łużyckie (2)";"3283"
"0811063";"Lubsko (3)";"17725"
"0811064";"Lubsko - miasto (4)";"13240"
"0811065";"Lubsko - obszar wiejski (5)";"4485"
"0811072";"Przewóz (2)";"3054"
"0811082";"Trzebiel (2)";"5549"
"0811092";"Tuplice (2)";"2980"
"0811102";"Żary (2)";"12339"
"0812000";"Powiat wschowski";"37900"
"0812013";"Sława (3)";"12528"
"0812014";"Sława - miasto (4)";"4170"
"0812015";"Sława - obszar wiejski (5)";"8358"
"0812023";"Szlichtyngowa (3)";"4862"
"0812024";"Szlichtyngowa - miasto (4)";"1256"
"0812025";"Szlichtyngowa - obszar wiejski (5)";"3606"
"0812033";"Wschowa (3)";"20510"
"0812034";"Wschowa - miasto (4)";"13533"
"0812035";"Wschowa - obszar wiejski (5)";"6977"
"0861000";"Powiat m. Gorzów Wielkopolski";"119964"
"0861011";"Gorzów Wielkopolski (1)";"119964"
"0862000";"Powiat m. Zielona Góra";"140002"
"0862011";"Zielona Góra (1)";"140002"
"1000000";"ŁÓDZKIE";"2410286"
"1001000";"Powiat bełchatowski";"110106"
"1001011";"Bełchatów (1)";"54338"
"1001022";"Bełchatów (2)";"12416"
"1001032";"Drużbice (2)";"5252"
"1001042";"Kleszczów (2)";"6094"
"1001052";"Kluki (2)";"4341"
"1001062";"Rusiec (2)";"4919"
"1001072";"Szczerców (2)";"8199"
"1001083";"Zelów (3)";"14547"
"1001084";"Zelów - miasto (4)";"7297"
"1001085";"Zelów - obszar wiejski (5)";"7250"
"1002000";"Powiat kutnowski";"93386"
"1002011";"Kutno (1)";"42255"
"1002022";"Bedlno (2)";"5281"
"1002032";"Dąbrowice (2)";"1823"
"1002043";"Krośniewice (3)";"7995"
"1002044";"Krośniewice - miasto (4)";"4141"
"1002045";"Krośniewice - obszar wiejski (5)";"3854"
"1002052";"Krzyżanów (2)";"4053"
"1002062";"Kutno (2)";"8880"
"1002072";"Łanięta (2)";"2250"
"1002082";"Nowe Ostrowy (2)";"3283"
"1002092";"Oporów (2)";"2429"
"1002102";"Strzelce (2)";"3797"
"1002113";"Żychlin (3)";"11340"
"1002114";"Żychlin - miasto (4)";"7815"
"1002115";"Żychlin - obszar wiejski (5)";"3525"
"1003000";"Powiat łaski";"49306"
"1003012";"Buczek (2)";"5043"
"1003023";"Łask (3)";"27263"
"1003024";"Łask - miasto (4)";"16576"
"1003025";"Łask - obszar wiejski (5)";"10687"
"1003032";"Sędziejowice (2)";"6283"
"1003042";"Widawa (2)";"7069"
"1003052";"Wodzierady (2)";"3648"
"1004000";"Powiat łęczycki";"47881"
"1004011";"Łęczyca (1)";"13478"
"1004022";"Daszyna (2)";"3743"
"1004032";"Góra Świętej Małgorzaty (2)";"4306"
"1004042";"Grabów (2)";"5503"
"1004052";"Łęczyca (2)";"8327"
"1004063";"Piątek (3)";"5723"
"1004064";"Piątek - miasto (4)";"1637"
"1004065";"Piątek - obszar wiejski (5)";"4086"
"1004072";"Świnice Warckie (2)";"3696"
"1004082";"Witonia (2)";"3105"
"1005000";"Powiat łowicki";"75688"
"1005011";"Łowicz (1)";"26928"
"1005022";"Bielawy (2)";"5197"
"1005032";"Chąśno (2)";"2920"
"1005042";"Domaniewice (2)";"4544"
"1005052";"Kiernozia (2)";"3197"
"1005062";"Kocierzew Południowy (2)";"4120"
"1005072";"Łowicz (2)";"7684"
"1005082";"Łyszkowice (2)";"6520"
"1005092";"Nieborów (2)";"9278"
"1005102";"Zduny (2)";"5300"
"1006000";"Powiat łódzki wschodni";"73841"
"1006022";"Andrespol (2)";"14442"
"1006032";"Brójce (2)";"7117"
"1006073";"Koluszki (3)";"23119"
"1006074";"Koluszki - miasto (4)";"12396"
"1006075";"Koluszki - obszar wiejski (5)";"10723"
"1006082";"Nowosolna (2)";"5484"
"1006103";"Rzgów (3)";"11006"
"1006104";"Rzgów - miasto (4)";"3432"
"1006105";"Rzgów - obszar wiejski (5)";"7574"
"1006113";"Tuszyn (3)";"12673"
"1006114";"Tuszyn - miasto (4)";"7221"
"1006115";"Tuszyn - obszar wiejski (5)";"5452"
"1007000";"Powiat opoczyński";"73401"
"1007012";"Białaczów (2)";"5603"
"1007023";"Drzewica (3)";"9966"
"1007024";"Drzewica - miasto (4)";"3616"
"1007025";"Drzewica - obszar wiejski (5)";"6350"
"1007032";"Mniszków (2)";"4745"
"1007043";"Opoczno (3)";"32689"
"1007044";"Opoczno - miasto (4)";"19738"
"1007045";"Opoczno - obszar wiejski (5)";"12951"
"1007052";"Paradyż (2)";"4255"
"1007062";"Poświętne (2)";"2985"
"1007072";"Sławno (2)";"7523"
"1007082";"Żarnów (2)";"5635"
"1008000";"Powiat pabianicki";"120023"
"1008011";"Konstantynów Łódzki (1)";"18960"
"1008021";"Pabianice (1)";"62954"
"1008032";"Dłutów (2)";"4868"
"1008042";"Dobroń (2)";"8016"
"1008052";"Ksawerów (2)";"7621"
"1008062";"Lutomiersk (2)";"9189"
"1008072";"Pabianice (2)";"8415"
"1009000";"Powiat pajęczański";"49674"
"1009013";"Działoszyn (3)";"11873"
"1009014";"Działoszyn - miasto (4)";"5477"
"1009015";"Działoszyn - obszar wiejski (5)";"6396"
"1009022";"Kiełczygłów (2)";"3882"
"1009032";"Nowa Brzeźnica (2)";"4426"
"1009043";"Pajęczno (3)";"11407"
"1009044";"Pajęczno - miasto (4)";"6548"
"1009045";"Pajęczno - obszar wiejski (5)";"4859"
"1009052";"Rząśnia (2)";"4859"
"1009062";"Siemkowice (2)";"4543"
"1009072";"Strzelce Wielkie (2)";"4276"
"1009082";"Sulmierzyce (2)";"4408"
"1010000";"Powiat piotrkowski";"90884"
"1010012";"Aleksandrów (2)";"4321"
"1010022";"Czarnocin (2)";"4107"
"1010032";"Gorzkowice (2)";"8345"
"1010042";"Grabica (2)";"6030"
"1010052";"Łęki Szlacheckie (2)";"3269"
"1010062";"Moszczenica (2)";"12716"
"1010072";"Ręczno (2)";"3399"
"1010082";"Rozprza (2)";"12304"
"1010093";"Sulejów (3)";"16617"
"1010094";"Sulejów - miasto (4)";"6036"
"1010095";"Sulejów - obszar wiejski (5)";"10581"
"1010102";"Wola Krzysztoporska (2)";"11946"
"1010113";"Wolbórz (3)";"7830"
"1010114";"Wolbórz - miasto (4)";"2263"
"1010115";"Wolbórz - obszar wiejski (5)";"5567"
"1011000";"Powiat poddębicki";"39945"
"1011012";"Dalików (2)";"3961"
"1011022";"Pęczniew (2)";"3425"
"1011033";"Poddębice (3)";"14861"
"1011034";"Poddębice - miasto (4)";"6985"
"1011035";"Poddębice - obszar wiejski (5)";"7876"
"1011043";"Uniejów (3)";"6807"
"1011044";"Uniejów - miasto (4)";"2932"
"1011045";"Uniejów - obszar wiejski (5)";"3875"
"1011052";"Wartkowice (2)";"6085"
"1011062";"Zadzim (2)";"4806"
"1012000";"Powiat radomszczański";"109462"
"1012011";"Radomsko (1)";"44441"
"1012022";"Dobryszyce (2)";"4585"
"1012032";"Gidle (2)";"5848"
"1012042";"Gomunice (2)";"5726"
"1012053";"Kamieńsk (3)";"5713"
"1012054";"Kamieńsk - miasto (4)";"2679"
"1012055";"Kamieńsk - obszar wiejski (5)";"3034"
"1012062";"Kobiele Wielkie (2)";"4290"
"1012072";"Kodrąb (2)";"4379"
"1012082";"Lgota Wielka (2)";"4244"
"1012092";"Ładzice (2)";"4707"
"1012102";"Masłowice (2)";"3983"
"1012113";"Przedbórz (3)";"6777"
"1012114";"Przedbórz - miasto (4)";"3313"
"1012115";"Przedbórz - obszar wiejski (5)";"3464"
"1012122";"Radomsko (2)";"5452"
"1012132";"Wielgomłyny (2)";"4415"
"1012142";"Żytno (2)";"4902"
"1013000";"Powiat rawski";"47089"
"1013011";"Rawa Mazowiecka (1)";"16429"
"1013023";"Biała Rawska (3)";"11121"
"1013024";"Biała Rawska - miasto (4)";"3124"
"1013025";"Biała Rawska - obszar wiejski (5)";"7997"
"1013032";"Cielądz (2)";"3896"
"1013042";"Rawa Mazowiecka (2)";"8639"
"1013052";"Regnów (2)";"1734"
"1013062";"Sadkowice (2)";"5270"
"1014000";"Powiat sieradzki";"113944"
"1014011";"Sieradz (1)";"40014"
"1014023";"Błaszki (3)";"14238"
"1014024";"Błaszki - miasto (4)";"2094"
"1014025";"Błaszki - obszar wiejski (5)";"12144"
"1014032";"Brąszewice (2)";"4372"
"1014042";"Brzeźnio (2)";"6171"
"1014052";"Burzenin (2)";"5359"
"1014062";"Goszczanów (2)";"5226"
"1014072";"Klonowa (2)";"2788"
"1014082";"Sieradz (2)";"10691"
"1014093";"Warta (3)";"12104"
"1014094";"Warta - miasto (4)";"3073"
"1014095";"Warta - obszar wiejski (5)";"9031"
"1014102";"Wróblew (2)";"5988"
"1014113";"Złoczew (3)";"6993"
"1014114";"Złoczew - miasto (4)";"3444"
"1014115";"Złoczew - obszar wiejski (5)";"3549"
"1015000";"Powiat skierniewicki";"38061"
"1015012";"Bolimów (2)";"3927"
"1015022";"Głuchów (2)";"5622"
"1015032";"Godzianów (2)";"2602"
"1015042";"Kowiesy (2)";"2834"
"1015052";"Lipce Reymontowskie (2)";"3183"
"1015062";"Maków (2)";"5992"
"1015072";"Nowy Kawęczyn (2)";"3399"
"1015082";"Skierniewice (2)";"7981"
"1015092";"Słupia (2)";"2521"
"1016000";"Powiat tomaszowski";"113114"
"1016011";"Tomaszów Mazowiecki (1)";"59388"
"1016022";"Będków (2)";"3187"
"1016032";"Budziszewice (2)";"2102"
"1016042";"Czerniewice (2)";"4898"
"1016052";"Inowłódz (2)";"3687"
"1016062";"Lubochnia (2)";"7395"
"1016072";"Rokiciny (2)";"6180"
"1016082";"Rzeczyca (2)";"4464"
"1016092";"Tomaszów Mazowiecki (2)";"11184"
