teryt:terc,name,population,teryt:simc
2817011,Szczytno,22389,0964991
2817044,Pasym,2407,0485813
2817084,Wielbark,2996,0490470
2818034,Gołdap,13378,0977700
2819034,Węgorzewo,10879,0977947
2861011,Elbląg,115220,0932703
2862011,Olsztyn,170225,0964465
3001011,Chodzież,18044,0966760
3001024,Budzyń,4648,0524393
3001044,Margonin,3019,0966990
3001054,Szamocin,4007,0967096
3002011,Czarnków,10370,0966777
3002044,Krzyż Wielkopolski,6017,0966961
3002074,Trzcianka,16831,0967162
3002084,Wieleń,5878,0967334
3003011,Gniezno,65452,0970632
3003024,Czerniejewo,2576,0970543
3003054,Kłecko,2608,0970840
3003094,Trzemeszno,7522,0929701
3003104,Witkowo,7623,0949388
3004014,Borek Wielkopolski,2440,0954343
3004024,Gostyń,20210,0954395
3004034,Krobia,4412,0954538
3004064,Pogorzela,2048,0954580
3004074,Poniec,2945,0954596
3005024,Grodzisk Wielkopolski,15131,0970810
3005044,Rakoniewice,3658,0971413
3005054,Wielichowo,1725,0971620
3006014,Jaraczewo,1369,0199088
3006024,Jarocin,26565,0936776
3006044,Żerków,2078,0937445
3007054,Koźminek,1874,0201141
3007084,Opatówek,3575,0205386
3007094,Stawiszyn,1425,0937327
3008034,Kępno,13951,0936871
3009011,Koło,20380,0949052
3009044,Dąbie,1787,0948992
3009064,Kłodawa,6074,0949046
3009114,Przedecz,1566,0949129
3010014,Golina,4395,0949017
3010044,Kleczew,3980,0949023
3010074,Rychwał,2402,0949193
3010104,Sompolno,3429,0949253
3010124,Ślesin,3179,0949282
3011011,Kościan,24022,0954484
3011024,Czempiń,4825,0970537
3011044,Krzywiń,1674,0954544
3011054,Śmigiel,5648,0954656
3012011,Sulmierzyce,2772,0937333
3012024,Kobylin,3190,0954478
3012034,Koźmin Wielkopolski,6304,0936925
3012044,Krotoszyn,28704,0936931
3012064,Zduny,4387,0937439
3013034,Osieczna,2425,0954567
3013044,Rydzyna,2878,0954633
3014034,Międzychód,10288,0935506
3014044,Sieraków,5930,0971436
3015024,Lwówek,2938,0971028
3015044,Nowy Tomyśl,14116,0971175
3015054,Opalenica,9360,0971241
3015064,Zbąszyń,7209,0988655
3016014,Oborniki,17629,0971181
3016024,Rogoźno,10959,0967080
3017011,Ostrów Wielkopolski,70725,0937132
3017024,Nowe Skalmierzyce,4754,0937089
3017034,Odolanów,5011,0937110
3017064,Raszków,2130,0937310
3018034,Grabów nad Prosną,1917,0936760
3018064,Mikstat,1743,0937066
3018074,Ostrzeszów,14036,0937250
3019011,Piła,71735,0966530
3019044,Łobżenica,2853,0966984
3019074,Ujście,3488,0967191
3019084,Wyrzysk,5085,0967392
3019094,Wysoka,2577,0967417
3020014,Chocz,1691,0195564
3020034,Dobrzyca,2949,0196380
3020064,Pleszew,16872,0937280
3021011,Luboń,33024,0970974
3021021,Puszczykowo,9470,0971376
3021034,Buk,5718,0970520
3021084,Kostrzyn,9809,0970885
3021094,Kórnik,8246,0970922
3021104,Mosina,14511,0971057
3021114,Murowana Goślina,10247,0971152
3021124,Pobiedziska,9755,0971287
3021144,Stęszew,5964,0971494
3021164,Swarzędz,29295,0971502
3022014,Bojanowo,2856,0954308
3022024,Jutrosin,1910,0954461
3022034,Miejska Górka,3152,0954550
3022054,Rawicz,20305,0954604
3023011,Słupca,13353,0949247
3023084,Zagórów,2861,0949431
3024011,Obrzycko,2379,0971212
3024054,Ostroróg,1878,0971264
3024064,Pniewy,8161,0971270
3024074,Szamotuły,18709,0971531
3024084,Wronki,10918,0967386
3025044,Środa Wielkopolska,24225,0971614
3026024,Dolsk,1568,0970589
3026034,Książ Wielkopolski,2643,0970968
3026044,Śrem,28835,0971560
3027011,Turek,25376,0949336
3027034,Dobra,1358,0949000
3027074,Tuliszków,3120,0949320
3028011,Wągrowiec,25773,0967297
3028034,Gołańcz,3194,0966820
3028054,Skoki,4634,0971459
3029034,Wolsztyn,12504,0988632
3030024,Miłosław,3492,0971034
3030034,Nekla,3831,0590310
3030044,Pyzdry,3014,0949164
3030054,Września,31986,0971637
3031011,Złotów,18768,0967423
3031024,Jastrowie,8344,0966843
3031034,Krajenka,3586,0966932
3031054,Okonek,3686,0967044
3061011,Kalisz,95905,0936569
3062011,Konin,69858,0948667
3063011,Leszno,61791,0954225
3064011,Poznań,546859,0969400
3201011,Białogard,23142,0949690
3201034,Karlino,5582,0949968
3201044,Tychowo,2354,0313839
3202024,Choszczno,14399,0935280
3202034,Drawno,2187,0935357
3202054,Pełczyce,2468,0935601
3202064,Recz,2760,0935653
3203014,Czaplinek,6876,0949810
3203024,Drawsko Pomorskie,11515,0949862
3203034,Kalisz Pomorski,4121,0949916
3203064,Złocieniec,12373,0950374
3204024,Goleniów,22166,0978929
3204034,Maszewo,3309,0979188
3204044,Nowogard,16102,0979389
3204074,Stepnica,2490,0783864
3205024,Gryfice,15863,0979053
3205044,Płoty,3816,0979432
3205084,Trzebiatów,9591,0979969
3206024,Cedynia,1472,0978734
3206034,Chojna,7356,0978786
3206044,Gryfino,20297,0979076
3206054,Mieszkowice,3449,0979202
3206064,Moryń,1630,0979283
3206084,Trzcińsko-Zdrój,2173,0979952
3207014,Dziwnów,2451,0774782
3207024,Golczewo,2545,0978881
3207034,Kamień Pomorski,8564,0979113
3207044,Międzyzdroje,5032,0979248
3207064,Wolin,4702,0980079
3208011,Kołobrzeg,44340,0950026
3208034,Gościno,2611,0306236
3209034,Bobolice,3848,0949804
3209054,Mielno,2836,0308353
3209064,Polanów,2908,0950115
3209074,Sianów,6545,0950240
3210014,Barlinek,13339,0935268
3210034,Dębno,13291,0935305
3210044,Myślibórz,10649,0935558
3211034,Nowe Warpno,1111,0979308
3211044,Police,30623,0979449
3212034,Lipiany,3819,0979120
3212054,Pyrzyce,12041,0979515
3213011,Darłowo,13081,0949833
3213021,Sławno,12028,0977410
3214011,Stargard,67348,0979596
3214024,Chociwel,3041,0978757
3214034,Dobrzany,2183,0978875
3214054,Ińsko,1823,0979099
3214114,Suchań,1403,0979716
3215011,Szczecinek,38446,0950262
3215024,Barwice,3533,0949649
3215034,Biały Bór,2091,0949767
3215044,Borne Sulinowo,5032,0988715
3216011,Świdwin,14937,0950322
3216034,Połczyn-Zdrój,7469,0950144
3217011,Wałcz,24167,0967245
3217024,Człopa,2232,0966808
3217034,Mirosławiec,3037,0967038
3217044,Tuczno,1838,0967185
3218014,Dobra,2103,0978852
3218024,Łobez,9792,0979136
3218044,Resko,4039,0979580
3218054,Węgorzyno,2657,0980062
3261011,Koszalin,105883,0949448
3262011,Szczecin,396168,0977976
3263011,Świnoujście,40204,0979722
