node|3928563584|50.7815460|16.0352943|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|4437789153|52.6003030|16.5881876|Szamotuły||64-500|Bolesława Chrobrego|||Powiatowy inspektorat nadzoru budowlanego w Szamotułach||||
node|4587724996|52.4264460|20.7219397|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|4737624094|51.9602693|20.1446655|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
node|6942361510|51.3762184|20.2878071|||||||Powiatowy Inspektorat Nadzoru Budowlanego w Opocznie||||
node|6950359300|51.0552207|16.1939850|||||||Powiatowy Inspektorat Nadzoru Budowlanego w Jaworze||||
node|10075403602|54.1890927|16.1932113|||||pinb-koszalin@szczecin.uw.gov.pl||Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Koszalin|Powiatowy Inspektorat Nadzoru Budowlanego dla miasta na prawach powiatu w Koszalinie|+48 94 342 85 00||http://www.pinb.koszalin.pl/index.html
node|10314088219|51.6245517|21.9273157|||||pinbryki@wp.pl|+48 81 865 32 11|Powiatowy Inspektorat Nadzoru Budowlanego||+48 81 865 32 11|PINB w Rykach|pinbryki.wordpress.com
node|10541972514|49.4709501|22.3295236|||||pinblesko@op.pl|+48 13 492 72 77|Powiatowy Inspektorat Nadzoru Budowlanego||+48 13 469 71 48|PINB w Lesku|
node|10541977443|50.2463136|21.7826237|||||pinb.kolbuszowa@interia.pl|+48 17 227 57 21|Powiatowy Inspektorat Nadzoru Budowlanego||+48 17 227 58 20|PINB w Kolbuszowej|http://bip.powiat.kolbuszowa.pl/bip_kolbuszowa/index.jsp?place=Menu02&news_cat_id=21&layout=1&page=0
node|10541978241|50.0523793|21.6162271|||||pinb@spropczyce.pl|+48 17 222 89 40|Powiatowy Inspektorat Nadzoru Budowlanego||+48 17 222 89 41|PINB w Ropczycach|http://bip.spropczyce.pl/
node|10541987897|49.6788955|21.7748356|||||pinbkrosno@op.pl|+48 13 437 57 82|Powiatowy Inspektorat Nadzoru Budowlanego w Krośnie||+48 13 437 57 82|PINB w Krośnie|http://bip.zetorzeszow.pl/pinbkrosno/
node|10541994168|50.0412826|22.0098801|||||pinb@powiat.rzeszow.pl|+48 17 862 62 17|Powiatowy Inspektorat Nadzoru Budowlanego||+48 17 862 62 68|PINB w Rzeszowie|https://bip.powiat.rzeszow.pl/?c=mdTresc-cmPokaz-1738#POWIATOWY%20INSPEKTORAT%20NADZORU%20BUDOWLANEGO%20W%20RZESZOWIE
way|129769865|49.7487782|18.6349651|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
way|771416524|52.5313356|17.6034143|||||||Powiatowy Inspektorat Nadzoru Budowlanego||||
